date,RF.21304.Ток...213MII904A,S.C.ВПУСК.ПП.ДАВЛ...214PI226AA,S.C.ВПУСК.ПП.ДАВЛ...214PI226AB,S.C.ВПУСК.ПП.ТЕМП...214TI232A,SPEED.CONTROLLER...250MSIC001.PV,XX21401.МАСС.РАСХ.ГРАНУЛ...214FIC112.PV,ДАВЛ.ВАЛ.ВПЕР.УПР...214PIC232A,ДВИГАТЕЛЬ.ГРАНУЛЯТОРА...214MSIC981,Е.21402А....ГР.ВОДА.ВЫХ...214TIC101A,ЕХ21401.АЕ01.MFR...214AI200A,НАГНЕТАНИЕ.В.EX.21401...250PI001,ПОЛОЖ.НОЖА..ГРАНУЛЯТОРА...214ZI211A,ПОЛОЖ.ЩЕЛ.ДИСКА...214ZI202A,РАСХОД.В....EX.21401...250FIC001.PV,РАСХОД.ЛИНИИ.P.W...214FI205A,СЕКТ.ПИТАТЕЛЬ.RF21304...213MSIC904.PV,СПЕЦ.ЭНЕРГИЯ...214JYY200A,ТЕМП.ЛИН.Г.В..ДР.ЛИН....214TI247A,ТЕМП.ЛИН.Г.В..ЛИН.РАЗ....214TI246A,ТЕМП.ФИЛЬЕРЫ...214TI235A,ТЕМП.ЩЕЛ.ДИСК.УПР...214TIC214A,ТЕМПЕРАТУРА.EX.21401...250TI004,ТЕМПЕРАТУРА.ОБОРОТН.ВОДЫ...250TIC003.PV,ТОК.ДВИГ.ГРАНУЛЯТ...214II217A,УПРАВЛЕНИЕ..P.25001A...250HIC001A,УРОВЕНЬ.В...V.25001A...250LI001A,ФАКТ.РАСХОД.ПРОП...213FY070,ФАКТ.РАСХОД.ПРОП...213FY070_R,ФИЛЬЕРА.ПП.ДАВЛ...214PI227AA,ФИЛЬЕРА.ПП.ДАВЛ...214PI227AB,ФИЛЬЕРА.ПП.ТЕМП...214TI233A,ЦИЛ..2.ТЕМП.УПР...214TIC206A,ЦИЛ..3.ТЕМП.НАГР...214TI216A,ЦИЛ..3.ТЕМП.УПР...214TIC207A,ЦИЛ..4.ТЕМП.УПР...214TIC208A,ЦИЛ..5.ТЕМП.УПР...214TIC209A,ЦИЛ..6.ТЕМП.УПР...214TIC210A,ЦИЛ..7.ТЕМП.УПР...214TIC211A,ЦИЛ..8.ТЕМП.УПР...214TIC212A,ЦИЛ..9.ТЕМП.УПР...214TIC213A,ЭКСТР.ДВИГ.ВЛАСТЬ...214JI200A,ЭКСТР.ДВИГ.ПОТОК...214II200A,H2.C3..КОНТР.СООТН...212AIC008.PV,name
2017-05-29 20:35:50,4.900000095,11.61999989,12.27999973,249.3000031,0.0,35.13900757,0.45569998,450.10000610000014,47.10000229,3.100000143,0.09265532300000001,7.9800000189999984,73.30000305,1.0928799999999999e-16,592.0,12.03205776,167.2620087,250.5,280.60000610000003,210.0,225.10000609999997,31.20751953,29.15385056,118.70000459999999,5.0,33.1217804,34800.0,34.74175262,8.260000229,7.389999866,242.90000919999997,146.6999969,255.5,146.6000061,240.10000609999997,235.1999969,219.90000919999997,210.8000031,210.8000031,210.6999969,5820.0,346.30001830000015,4.183074951,1
2017-05-29 20:36:00,4.900000095,11.67000008,12.39999962,249.3000031,0.0,35.12324524,0.45569998,449.80001830000003,47.10000229,3.100000143,0.09285396300000001,7.940000057000001,73.40000153,1.0928799999999999e-16,584.7999877999998,12.03262997,167.2620087,250.5,280.60000610000003,210.0,225.10000609999997,31.21559525,29.14951706,118.20000459999999,5.0,33.12361145,34800.0,34.74505615,8.309999466,7.409999847000001,243.0,146.6999969,255.5,146.6000061,240.10000609999997,235.1999969,219.90000919999997,210.8000031,210.90000919999997,210.6999969,5820.0,339.6000061000001,4.183074951,1
2017-05-29 20:36:10,4.900000095,11.63000011,12.32999992,249.10000609999997,0.0,35.12800598,0.45569998,450.3999938999999,47.10000229,3.100000143,0.09266479300000001,7.940000057000001,73.30000305,1.0928799999999999e-16,593.5,12.03445435,167.2620087,250.5,280.60000610000003,210.0,225.10000609999997,31.20162201,29.12495613,118.3000031,5.0,33.13217163,34800.0,34.74753571,8.279999733,7.399999619,242.8000031,146.6999969,255.5,146.6999969,240.0,235.10000609999997,219.90000919999997,210.8000031,211.0,210.6999969,5820.0,342.3000183000001,4.183074951,1
2017-05-29 20:36:20,4.900000095,11.61999989,12.27999973,249.10000609999997,0.0,35.13124466,0.45569998,450.3999938999999,47.10000229,3.100000143,0.092803195,7.949999808999999,73.30000305,1.0928799999999999e-16,587.7000122000002,12.03267002,167.2620087,250.5,280.60000610000003,210.0,225.10000609999997,31.20486069,29.13528061,117.59999850000001,5.0,33.11470795,34800.0,34.74528885,8.260000229,7.389999866,242.1999969,146.6999969,255.5,146.6999969,240.0,235.10000609999997,219.90000919999997,210.8000031,211.1999969,210.6999969,5820.0,340.2000122,4.183074951,1
2017-05-29 20:36:30,4.8000001910000005,11.63000011,12.30000019,249.3000031,0.0,35.16704178,0.45569998,450.20001219999995,47.10000229,3.100000143,0.092787504,7.949999808999999,73.40000153,1.0928799999999999e-16,593.2999877999998,12.03321266,167.2620087,250.5,280.60000610000003,210.0,225.10000609999997,31.20220566,29.14375305,118.70000459999999,5.0,33.12541962,34800.0,34.74842453,8.260000229,7.389999866,242.8000031,146.6999969,255.5,146.6000061,240.0,235.10000609999997,219.90000919999997,210.8000031,211.3000031,210.6999969,5820.0,342.0,4.183074951,1
2017-05-29 20:36:40,4.8000001910000005,11.61999989,12.30000019,249.3000031,0.0,35.18664169,0.45569998,449.8999938999999,47.10000229,3.100000143,0.09268672800000001,7.899999619,73.30000305,1.0928799999999999e-16,579.2000122000002,12.03444481,167.2620087,250.5,280.60000610000003,210.0,225.10000609999997,31.20220375,29.12963104,118.40000149999999,5.0,33.1223793,34800.0,34.75016403,8.25,7.379999637999999,243.3000031,146.8000031,255.5,146.6000061,240.0,235.10000609999997,219.90000919999997,210.8000031,211.40000919999997,210.6999969,5820.0,345.60000610000014,4.183074951,1
2017-05-29 20:36:50,4.900000095,11.63999939,12.31999969,249.3000031,0.0,35.19497299,0.45569998,449.8999938999999,47.10000229,3.100000143,0.09287107,7.9600000379999996,73.30000305,1.0928799999999999e-16,591.7999877999998,12.03371429,167.2620087,250.5,280.60000610000003,210.0,225.10000609999997,31.19569397,29.12422752,117.8000031,5.0,33.11218262,34800.0,34.74863434,8.260000229,7.399999619,243.10000609999997,146.8000031,255.5,146.6000061,240.0,235.10000609999997,219.90000919999997,210.8000031,211.5,210.6999969,5820.0,348.0,4.183074951,1
2017-05-29 20:37:00,4.900000095,11.67000008,12.31999969,249.3000031,0.0,35.24284363,0.45569998,451.0,47.10000229,3.100000143,0.092807062,7.949999808999999,73.30000305,1.0928799999999999e-16,592.7000122000002,12.03229904,167.2620087,250.40000919999997,280.60000610000003,210.0,225.10000609999997,31.20002174,29.11891174,118.20000459999999,5.0,33.11619186,34800.0,34.74583435,8.269999504,7.399999619,243.10000609999997,146.8000031,255.5,146.6000061,240.10000609999997,235.0,219.90000919999997,210.8000031,211.5,210.60000609999997,5820.0,345.30001830000015,4.183074951,1
2017-05-29 20:37:10,4.900000095,11.65999985,12.34999943,249.1999969,0.0,35.2023201,0.45569998,449.70001219999995,47.10000229,3.100000143,0.092775077,7.949999808999999,73.30000305,1.0928799999999999e-16,593.6000366000002,12.03154755,167.2620087,250.5,280.60000610000003,210.0,225.10000609999997,31.19032288,29.10305214,117.59999850000001,5.0,33.12426758,34800.0,34.74417877,8.279999733,7.409999847000001,242.60000609999997,146.8000031,255.5,146.6000061,240.10000609999997,235.0,219.90000919999997,210.8000031,211.5,210.6999969,5820.0,341.1000061000001,4.183074951,1
2017-05-29 20:37:20,4.900000095,11.64999962,12.28999996,249.1999969,0.0,35.14690781,0.45569998,449.8999938999999,47.10000229,3.100000143,0.09265443699999999,7.919999599,73.40000153,1.0928799999999999e-16,595.1000366000002,12.03213882,167.2620087,250.5,280.7000122,210.0,225.10000609999997,31.19440842,29.09096146,118.09999850000001,5.0,33.12225342,34800.0,34.74222183,8.260000229,7.399999619,242.1999969,146.8000031,255.5,146.6000061,240.10000609999997,235.0,219.90000919999997,210.8000031,211.5,210.60000609999997,5820.0,340.8000183000001,4.183074951,1
2017-05-29 20:37:30,4.900000095,11.64999962,12.28999996,249.1999969,0.0,35.15615082,0.45569998,450.5,47.10000229,3.100000143,0.0928123,7.9600000379999996,73.30000305,1.0928799999999999e-16,594.2000122000002,12.03359127,167.2620087,250.5,280.60000610000003,210.0,225.10000609999997,31.20034218,29.07238197,118.20000459999999,5.0,33.12388611,34800.0,34.74523544,8.25,7.379999637999999,242.3000031,146.8000031,255.5,146.5,240.1999969,235.0,219.90000919999997,210.8000031,211.5,210.60000609999997,5820.0,340.2000122,4.183074951,1
2017-05-29 20:37:40,4.900000095,11.67000008,12.30000019,249.40000919999997,0.0,35.17110825,0.45569998,450.3999938999999,47.10000229,3.100000143,0.092669763,7.940000057000001,73.30000305,1.0928799999999999e-16,591.2999877999998,12.03395176,167.2620087,250.5,280.60000610000003,210.0,225.10000609999997,31.18903542,29.05675888,118.3000031,5.0,33.12384033,34800.0,34.74731827,8.260000229,7.389999866,242.8000031,146.8000031,255.5,146.5,240.1999969,235.0,219.90000919999997,210.8000031,211.3000031,210.60000609999997,5820.0,342.0,4.183074951,1
